time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-07-20 17:04:22,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,338.3, 3.3, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,348.9,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
100,2023-07-20 17:04:22,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,335.8, 4.7, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,349.2,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,"Remote ID functionality normal (Code: 30331)"
200,2023-07-20 17:04:22,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,336.5, 4.3, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,349.1,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
300,2023-07-20 17:04:22,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,336.5, 3.2, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,349,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
400,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,334.6, 3.8, 1.2,0,0,1024,1024,1024,1024,0,0,0,0,349,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
500,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0.223694,0,0,0,0,0,7928.3308829717,0,0,0,0.223694,0,-0.223694,333.2, 4.2, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,348.6,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
600,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0.223694,0,0,0,0,0,7928.3308829717,0,0,0,0.223694,0,-0.223694,332.4, 3.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,348.2,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
700,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,-0.223694,331.3, 3.6, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,347.7,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
800,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,331.4, 4.4, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,347,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
900,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,331.9, 3.4, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,346.5,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,"Setting new Return-To-Home altitude to 115m (377 ft). Data Recorder File Index is 1. Setting new Maximum Flight Altitude to 30m (98 ft)"
1000,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,0,7928.3308829717,0,0,0,0,0,0,332.4, 3.8, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,346.2,4.6,0,27,3.537,3.535,3.534,0,0,0,0,73.22,7928.3308829717,0,41,Motors_Started,
1100,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,10.609,7928.3308829717,0,0,0,0,0,0,331.6, 3.7, -1.9,0,0,1024,1024,1024,1024,0,0,0,0,346,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.3308829717,0,41,Motors_Started,
1200,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,10.609,7928.3308829717,0,0,0,0,0,0,332.5, 2.3, -3,0,0,1024,1024,1024,1024,0,0,0,0,345.7,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.3308829717,0,41,Motors_Started,
1300,2023-07-20 17:04:23,0,0,0,,,7928.3308829717,4.593176,0,0,0,0,0,10.609,7928.3308829717,0,0,0,0,0,0,332.4, 2, -2.5,0,0,1024,1024,1024,1024,0,0,0,0,345.6,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.3308829717,0,41,Motors_Started,
1400,2023-07-20 17:04:24,0,0,0.328084,,,7928.6589669717,4.593176,0,0,0,0,0,10.609,7928.6589669717,0.328084,0,0,0,0,0,331.3, 4.1, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,345.4,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.6589669717,0.328084,41,Motors_Started,
1500,2023-07-20 17:04:24,0,0,0.328084,,,7928.6589669717,4.593176,0,0,0,0,0,10.609,7928.6589669717,0.328084,0,0,0,0,0,331.7, 4.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,345.2,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.6589669717,0.328084,11,AutoTakeoff,
1600,2023-07-20 17:04:24,0,0,0.328084,,,7928.6589669717,4.593176,0,0,0,0,0,10.609,7928.6589669717,0.328084,0,0,0,0,0,333, 2.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,345,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.6589669717,0.328084,11,AutoTakeoff,
1700,2023-07-20 17:04:24,0,0,0.328084,,,7928.6589669717,4.593176,0,0,0,0,0,10.609,7928.6589669717,0.328084,0,0,0,0,0,333.1, 2.5, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,345,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.6589669717,0.328084,11,AutoTakeoff,
1800,2023-07-20 17:04:24,0,0,0.328084,,,7928.6589669717,4.593176,0,0,0,0,0,10.609,7928.6589669717,0.328084,0,0,0,0,0,332.2, 2.4, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,345,4.6,0,27,3.537,3.535,3.534,0,0,0,3.403,73.22,7928.6589669717,0.328084,11,AutoTakeoff,
